leagues games: 
black is 0   |   white is 1   /   Black points => 45 | White points => 19 || winner : True
black is 0   |   white is 2   /   Black points => 17 | White points => 47 || winner : False
black is 0   |   white is 3   /   Black points => 23 | White points => 41 || winner : False
black is 0   |   white is 4   /   Black points => 20 | White points => 44 || winner : False
black is 1   |   white is 0   /   Black points => 17 | White points => 0 || winner : True
black is 1   |   white is 2   /   Black points => 32 | White points => 32 || winner : NONE
black is 1   |   white is 3   /   Black points => 34 | White points => 30 || winner : True
black is 1   |   white is 4   /   Black points => 55 | White points => 9 || winner : True
black is 2   |   white is 0   /   Black points => 25 | White points => 39 || winner : False
black is 2   |   white is 1   /   Black points => 30 | White points => 34 || winner : False
black is 2   |   white is 3   /   Black points => 37 | White points => 27 || winner : True
black is 2   |   white is 4   /   Black points => 15 | White points => 49 || winner : False
black is 3   |   white is 0   /   Black points => 20 | White points => 44 || winner : False
black is 3   |   white is 1   /   Black points => 20 | White points => 44 || winner : False
black is 3   |   white is 2   /   Black points => 29 | White points => 35 || winner : False
black is 3   |   white is 4   /   Black points => 47 | White points => 17 || winner : True
black is 4   |   white is 0   /   Black points => 57 | White points => 7 || winner : True
black is 4   |   white is 1   /   Black points => 25 | White points => 39 || winner : False
black is 4   |   white is 2   /   Black points => 44 | White points => 20 || winner : True
black is 4   |   white is 3   /   Black points => 40 | White points => 24 || winner : True
