leagues games: 
black is 0   |   white is 1   /   Black points => 38 | White points => 26 || winner : True
black is 0   |   white is 2   /   Black points => 45 | White points => 19 || winner : True
black is 0   |   white is 3   /   Black points => 46 | White points => 18 || winner : True
black is 0   |   white is 4   /   Black points => 23 | White points => 41 || winner : False
black is 1   |   white is 0   /   Black points => 12 | White points => 52 || winner : False
black is 1   |   white is 2   /   Black points => 29 | White points => 35 || winner : False
black is 1   |   white is 3   /   Black points => 54 | White points => 10 || winner : True
black is 1   |   white is 4   /   Black points => 12 | White points => 52 || winner : False
black is 2   |   white is 0   /   Black points => 34 | White points => 30 || winner : True
black is 2   |   white is 1   /   Black points => 19 | White points => 0 || winner : True
black is 2   |   white is 3   /   Black points => 27 | White points => 37 || winner : False
black is 2   |   white is 4   /   Black points => 18 | White points => 46 || winner : False
black is 3   |   white is 0   /   Black points => 20 | White points => 44 || winner : False
black is 3   |   white is 1   /   Black points => 32 | White points => 32 || winner : NONE
black is 3   |   white is 2   /   Black points => 49 | White points => 15 || winner : True
black is 3   |   white is 4   /   Black points => 22 | White points => 42 || winner : False
black is 4   |   white is 0   /   Black points => 33 | White points => 31 || winner : True
black is 4   |   white is 1   /   Black points => 22 | White points => 42 || winner : False
black is 4   |   white is 2   /   Black points => 31 | White points => 33 || winner : False
black is 4   |   white is 3   /   Black points => 24 | White points => 40 || winner : False
