leagues games: 
black is 0   |   white is 1   /   Black points => 47 | White points => 17 || winner : True
black is 0   |   white is 2   /   Black points => 30 | White points => 34 || winner : False
black is 0   |   white is 3   /   Black points => 23 | White points => 41 || winner : False
black is 0   |   white is 4   /   Black points => 40 | White points => 24 || winner : True
black is 1   |   white is 0   /   Black points => 38 | White points => 26 || winner : True
black is 1   |   white is 2   /   Black points => 29 | White points => 35 || winner : False
black is 1   |   white is 3   /   Black points => 14 | White points => 50 || winner : False
black is 1   |   white is 4   /   Black points => 32 | White points => 32 || winner : NONE
black is 2   |   white is 0   /   Black points => 24 | White points => 40 || winner : False
black is 2   |   white is 1   /   Black points => 42 | White points => 22 || winner : True
black is 2   |   white is 3   /   Black points => 31 | White points => 33 || winner : False
black is 2   |   white is 4   /   Black points => 41 | White points => 23 || winner : True
black is 3   |   white is 0   /   Black points => 21 | White points => 43 || winner : False
black is 3   |   white is 1   /   Black points => 20 | White points => 44 || winner : False
black is 3   |   white is 2   /   Black points => 14 | White points => 50 || winner : False
black is 3   |   white is 4   /   Black points => 17 | White points => 0 || winner : True
black is 4   |   white is 0   /   Black points => 12 | White points => 52 || winner : False
black is 4   |   white is 1   /   Black points => 39 | White points => 25 || winner : True
black is 4   |   white is 2   /   Black points => 43 | White points => 21 || winner : True
black is 4   |   white is 3   /   Black points => 51 | White points => 13 || winner : True
