leagues games: 
black is 0   |   white is 1   /   Black points => 48 | White points => 16 || winner : True
black is 0   |   white is 2   /   Black points => 46 | White points => 18 || winner : True
black is 0   |   white is 3   /   Black points => 26 | White points => 38 || winner : False
black is 0   |   white is 4   /   Black points => 20 | White points => 44 || winner : False
black is 1   |   white is 0   /   Black points => 40 | White points => 24 || winner : True
black is 1   |   white is 2   /   Black points => 16 | White points => 48 || winner : False
black is 1   |   white is 3   /   Black points => 39 | White points => 25 || winner : True
black is 1   |   white is 4   /   Black points => 51 | White points => 13 || winner : True
black is 2   |   white is 0   /   Black points => 48 | White points => 16 || winner : True
black is 2   |   white is 1   /   Black points => 26 | White points => 38 || winner : False
black is 2   |   white is 3   /   Black points => 17 | White points => 0 || winner : True
black is 2   |   white is 4   /   Black points => 12 | White points => 52 || winner : False
black is 3   |   white is 0   /   Black points => 51 | White points => 13 || winner : True
black is 3   |   white is 1   /   Black points => 57 | White points => 7 || winner : True
black is 3   |   white is 2   /   Black points => 50 | White points => 14 || winner : True
black is 3   |   white is 4   /   Black points => 47 | White points => 17 || winner : True
black is 4   |   white is 0   /   Black points => 29 | White points => 34 || winner : False
black is 4   |   white is 1   /   Black points => 24 | White points => 40 || winner : False
black is 4   |   white is 2   /   Black points => 41 | White points => 23 || winner : True
black is 4   |   white is 3   /   Black points => 46 | White points => 18 || winner : True
