leagues games: 
black is 0   |   white is 1   /   Black points => 26 | White points => 38 || winner : False
black is 0   |   white is 2   /   Black points => 33 | White points => 31 || winner : True
black is 0   |   white is 3   /   Black points => 12 | White points => 52 || winner : False
black is 0   |   white is 4   /   Black points => 36 | White points => 28 || winner : True
black is 1   |   white is 0   /   Black points => 21 | White points => 43 || winner : False
black is 1   |   white is 2   /   Black points => 37 | White points => 27 || winner : True
black is 1   |   white is 3   /   Black points => 56 | White points => 8 || winner : True
black is 1   |   white is 4   /   Black points => 21 | White points => 43 || winner : False
black is 2   |   white is 0   /   Black points => 19 | White points => 45 || winner : False
black is 2   |   white is 1   /   Black points => 40 | White points => 24 || winner : True
black is 2   |   white is 3   /   Black points => 35 | White points => 29 || winner : True
black is 2   |   white is 4   /   Black points => 38 | White points => 26 || winner : True
black is 3   |   white is 0   /   Black points => 6 | White points => 58 || winner : False
black is 3   |   white is 1   /   Black points => 34 | White points => 30 || winner : True
black is 3   |   white is 2   /   Black points => 36 | White points => 28 || winner : True
black is 3   |   white is 4   /   Black points => 33 | White points => 31 || winner : True
black is 4   |   white is 0   /   Black points => 16 | White points => 48 || winner : False
black is 4   |   white is 1   /   Black points => 36 | White points => 28 || winner : True
black is 4   |   white is 2   /   Black points => 37 | White points => 27 || winner : True
black is 4   |   white is 3   /   Black points => 20 | White points => 44 || winner : False
