leagues games: 
black is 0   |   white is 1   /   Black points => 45 | White points => 19 || winner : True
black is 0   |   white is 2   /   Black points => 11 | White points => 53 || winner : False
black is 0   |   white is 3   /   Black points => 33 | White points => 31 || winner : True
black is 0   |   white is 4   /   Black points => 27 | White points => 37 || winner : False
black is 1   |   white is 0   /   Black points => 41 | White points => 23 || winner : True
black is 1   |   white is 2   /   Black points => 44 | White points => 19 || winner : True
black is 1   |   white is 3   /   Black points => 34 | White points => 30 || winner : True
black is 1   |   white is 4   /   Black points => 53 | White points => 11 || winner : True
black is 2   |   white is 0   /   Black points => 25 | White points => 39 || winner : False
black is 2   |   white is 1   /   Black points => 19 | White points => 45 || winner : False
black is 2   |   white is 3   /   Black points => 22 | White points => 42 || winner : False
black is 2   |   white is 4   /   Black points => 28 | White points => 36 || winner : False
black is 3   |   white is 0   /   Black points => 21 | White points => 43 || winner : False
black is 3   |   white is 1   /   Black points => 27 | White points => 37 || winner : False
black is 3   |   white is 2   /   Black points => 32 | White points => 32 || winner : NONE
black is 3   |   white is 4   /   Black points => 38 | White points => 26 || winner : True
black is 4   |   white is 0   /   Black points => 23 | White points => 41 || winner : False
black is 4   |   white is 1   /   Black points => 12 | White points => 52 || winner : False
black is 4   |   white is 2   /   Black points => 40 | White points => 24 || winner : True
black is 4   |   white is 3   /   Black points => 22 | White points => 42 || winner : False
