leagues games: 
black is 0   |   white is 1   /   Black points => 17 | White points => 0 || winner : True
black is 0   |   white is 2   /   Black points => 28 | White points => 36 || winner : False
black is 0   |   white is 3   /   Black points => 20 | White points => 44 || winner : False
black is 0   |   white is 4   /   Black points => 44 | White points => 20 || winner : True
black is 1   |   white is 0   /   Black points => 25 | White points => 39 || winner : False
black is 1   |   white is 2   /   Black points => 44 | White points => 20 || winner : True
black is 1   |   white is 3   /   Black points => 34 | White points => 30 || winner : True
black is 1   |   white is 4   /   Black points => 41 | White points => 23 || winner : True
black is 2   |   white is 0   /   Black points => 22 | White points => 42 || winner : False
black is 2   |   white is 1   /   Black points => 38 | White points => 26 || winner : True
black is 2   |   white is 3   /   Black points => 30 | White points => 34 || winner : False
black is 2   |   white is 4   /   Black points => 13 | White points => 51 || winner : False
black is 3   |   white is 0   /   Black points => 23 | White points => 41 || winner : False
black is 3   |   white is 1   /   Black points => 28 | White points => 36 || winner : False
black is 3   |   white is 2   /   Black points => 19 | White points => 45 || winner : False
black is 3   |   white is 4   /   Black points => 18 | White points => 46 || winner : False
black is 4   |   white is 0   /   Black points => 30 | White points => 34 || winner : False
black is 4   |   white is 1   /   Black points => 50 | White points => 14 || winner : True
black is 4   |   white is 2   /   Black points => 22 | White points => 42 || winner : False
black is 4   |   white is 3   /   Black points => 28 | White points => 36 || winner : False
