leagues games: 
black is 0   |   white is 1   /   Black points => 32 | White points => 32 || winner : NONE
black is 0   |   white is 2   /   Black points => 26 | White points => 38 || winner : False
black is 0   |   white is 3   /   Black points => 29 | White points => 35 || winner : False
black is 0   |   white is 4   /   Black points => 31 | White points => 33 || winner : False
black is 1   |   white is 0   /   Black points => 29 | White points => 35 || winner : False
black is 1   |   white is 2   /   Black points => 32 | White points => 32 || winner : NONE
black is 1   |   white is 3   /   Black points => 39 | White points => 25 || winner : True
black is 1   |   white is 4   /   Black points => 43 | White points => 21 || winner : True
black is 2   |   white is 0   /   Black points => 36 | White points => 28 || winner : True
black is 2   |   white is 1   /   Black points => 28 | White points => 36 || winner : False
black is 2   |   white is 3   /   Black points => 6 | White points => 58 || winner : False
black is 2   |   white is 4   /   Black points => 5 | White points => 59 || winner : False
black is 3   |   white is 0   /   Black points => 30 | White points => 34 || winner : False
black is 3   |   white is 1   /   Black points => 25 | White points => 39 || winner : False
black is 3   |   white is 2   /   Black points => 21 | White points => 43 || winner : False
black is 3   |   white is 4   /   Black points => 26 | White points => 38 || winner : False
black is 4   |   white is 0   /   Black points => 26 | White points => 38 || winner : False
black is 4   |   white is 1   /   Black points => 32 | White points => 32 || winner : NONE
black is 4   |   white is 2   /   Black points => 39 | White points => 25 || winner : True
black is 4   |   white is 3   /   Black points => 44 | White points => 20 || winner : True
