leagues games: 
black is 0   |   white is 1   /   Black points => 46 | White points => 18 || winner : True
black is 0   |   white is 2   /   Black points => 14 | White points => 50 || winner : False
black is 0   |   white is 3   /   Black points => 30 | White points => 34 || winner : False
black is 0   |   white is 4   /   Black points => 13 | White points => 51 || winner : False
black is 1   |   white is 0   /   Black points => 24 | White points => 40 || winner : False
black is 1   |   white is 2   /   Black points => 44 | White points => 20 || winner : True
black is 1   |   white is 3   /   Black points => 47 | White points => 16 || winner : True
black is 1   |   white is 4   /   Black points => 15 | White points => 49 || winner : False
black is 2   |   white is 0   /   Black points => 27 | White points => 37 || winner : False
black is 2   |   white is 1   /   Black points => 18 | White points => 46 || winner : False
black is 2   |   white is 3   /   Black points => 24 | White points => 40 || winner : False
black is 2   |   white is 4   /   Black points => 14 | White points => 50 || winner : False
black is 3   |   white is 0   /   Black points => 53 | White points => 11 || winner : True
black is 3   |   white is 1   /   Black points => 16 | White points => 48 || winner : False
black is 3   |   white is 2   /   Black points => 29 | White points => 35 || winner : False
black is 3   |   white is 4   /   Black points => 29 | White points => 35 || winner : False
black is 4   |   white is 0   /   Black points => 16 | White points => 48 || winner : False
black is 4   |   white is 1   /   Black points => 47 | White points => 17 || winner : True
black is 4   |   white is 2   /   Black points => 30 | White points => 34 || winner : False
black is 4   |   white is 3   /   Black points => 18 | White points => 46 || winner : False
